Centroid_Bi,Centroid_Uni,Event_Features,FirstRel_Doc,FreqWord_Bi,FreqWord_Uni,Label,SigTerm_Bi,SigTerm_Uni,doc_first,entity_score,length,position,quote
3.16227766017,3.30233868362,3,0.0,1,2,0,10,11,0,1.0,16,0,0
1.41421356237,1.72786779254,1,0.0,0,1,0,2,3,0,0.0,17,0,0
1.0,1.40804328612,1,0.408248290464,0,1,0,1,2,0,0.0,4,0,0
1.73035389831,1.97264272195,1,0.0,1,3,0,3,4,0,0.0,7,0,0
1.97492286356,2.20435112522,2,0.258198889747,1,3,0,4,5,0,0.0,9,0,0
3.31662479036,3.45039541463,1,0.0,0,2,1,11,12,0,0.0,29,0,0
1.73205080757,1.98714404311,1,0.0,1,1,0,3,4,0,0.0,10,0,0
3.46410161514,3.60037116884,1,0.0,1,1,0,12,13,0,0.0,20,0,0
3.14500610417,3.27110748757,4,0.0,1,6,0,10,11,0,2.0,17,0,0
2.64575131106,2.81233023036,2,0.0,0,3,0,7,8,0,0.0,20,0,2
2.0,2.20743545195,1,0.0,0,3,0,4,5,0,0.0,11,0,0
1.73205080757,1.99837192456,1,0.0,0,0,0,3,4,0,0.0,11,0,0
2.64575131106,2.81905434183,1,0.0,0,2,0,7,8,0,0.0,12,0,0
2.2360679775,2.44179236029,1,0.0,0,1,0,5,6,0,0.0,17,0,0
4.0,4.11078563223,1,0.0,0,3,0,16,17,0,0.0,37,0,0
2.64575131106,2.81578215702,2,0.0,0,2,0,7,8,0,0.0,17,0,0
3.60555127546,3.72680035118,2,0.0,1,3,0,13,14,0,0.0,27,0,0
2.0,2.21826458315,2,0.0,0,2,0,4,5,0,1.0,11,0,0
1.73205080757,1.99837192456,1,0.0,0,0,0,3,4,0,0.0,5,0,0
1.99837192456,2.20939821838,1,0.0,1,3,0,4,5,0,1.0,9,0,0
0.0,1.0,1,0.0,0,0,0,0,1,0,0.0,4,0,0
2.33333333333,2.29982600608,4,0.0,3,0,0,6,6,0,0.0,10,0,0
1.41421356237,1.73024255523,1,0.0,0,1,0,2,3,0,0.0,18,0,0
2.0,2.21000739179,1,0.0,0,1,0,4,5,0,0.0,11,0,0
2.44948974278,2.33333333333,1,0.0,0,2,0,6,6,0,0.0,14,0,0
1.41421356237,1.70478515914,1,0.0,0,1,0,2,3,0,0.0,9,0,0
2.44948974278,2.64064464667,1,0.0,1,1,0,6,7,0,0.0,14,0,0
2.0,2.22525013685,1,0.0,2,3,0,4,5,0,0.0,13,0,6
2.2360679775,2.43833874169,1,0.0,0,3,0,5,6,0,0.0,16,0,0
2.80935752422,2.96643360029,1,0.0,1,2,1,8,9,0,0.0,16,0,0
1.73205080757,1.99837192456,1,0.0,1,0,0,3,4,0,0.0,10,0,0
3.85225703398,3.94958438762,6,1.0,6,8,1,15,16,1,3.0,30,1,0
2.62854868025,2.80374331085,4,0.707106781187,6,6,1,7,8,0,1.0,12,0,0
4.34064098057,4.15010044038,8,0.357217254156,3,10,0,19,18,0,4.5,32,0,0
4.68928390664,4.63554736375,12,0.1,2,9,0,22,22,0,1.0,35,0,0
3.16227766017,3.29399521714,1,0.0753778361444,0,2,0,10,11,0,0.0,21,0,0
4.11068191266,4.19357701286,1,0.117851130198,2,4,0,17,18,0,2.0,25,0,0
3.30050356484,3.4215054976,1,0.288675134595,2,7,0,11,12,0,1.0,21,0,0
3.73905783149,3.83710979048,4,0.0,2,4,0,14,15,0,1.0,25,0,0
3.99614493076,4.09088643541,6,0.0,1,4,0,16,17,0,0.5,30,0,0
3.6041182386,3.73655783301,4,0.0,4,2,0,13,14,0,1.0,25,0,0
3.0,3.13601312785,1,0.158113883008,0,2,0,9,10,0,0.0,21,0,0
4.3565876117,4.23383042457,7,0.106600358178,6,6,0,19,19,0,4.0,30,0,0
3.72072769523,3.8164738617,2,0.19364916731,4,7,0,14,15,0,3.0,30,0,0
2.82667832042,2.97039342547,1,0.0,1,5,0,8,9,0,0.0,19,0,0
3.16067704531,2.97444258244,6,0.0,2,5,0,10,10,0,1.0,24,0,0
2.99393314369,3.12561316206,3,0.0790569415042,2,5,0,9,10,0,1.0,14,0,0
3.16067704531,3.29351223858,1,0.0,1,4,0,10,11,0,0.0,17,0,0
3.46261847753,3.56891744157,1,0.0693375245282,1,5,0,12,13,0,0.0,18,0,0
2.64575131106,2.79775188232,3,0.0883883476483,0,2,0,7,8,0,0.0,14,0,0
3.60288210849,3.70148085979,1,0.0,3,3,0,13,14,0,0.0,30,0,0
2.44948974278,2.62024389904,3,0.0944911182523,0,2,0,6,7,0,1.0,16,0,0
